case_id,candidate,family,severity,expected_violation,physics_failed,position_rmse,velocity_rmse,initial_condition_error,energy_drift,momentum_drift,collision_event_error,kinematic_residual,mse,psnr,ssim,ssim_error,pixel_frechet,temporal_gradient_mse,ratio_to_random_mse,low_sensitivity_mse,exact_miss_mse,ratio_to_random_ssim_error,low_sensitivity_ssim_error,exact_miss_ssim_error,ratio_to_random_pixel_frechet,low_sensitivity_pixel_frechet,exact_miss_pixel_frechet,ratio_to_random_temporal_gradient_mse,low_sensitivity_temporal_gradient_mse,exact_miss_temporal_gradient_mse
case-008,inelastic-0.95,inelastic,0.05,energy,1.0,0.001089960711349472,0.018284482947813683,0.0,0.09695724439758253,0.0,0.0,0.028012984191564613,6.58297140034847e-05,41.81578031691732,0.9976140567611781,0.002385943238821908,5.924222933114277e-06,2.448743543936871e-05,0.002472099989133606,1.0,0.0,0.0024736841041379212,1.0,0.0,6.786280767186717e-05,1.0,0.0,0.0009015649256197843,1.0,0.0
case-008,inelastic-0.80,inelastic,0.2,energy,1.0,0.004359842845393058,0.07313793179125457,0.0,0.3579959793141484,0.0,0.0,0.028012984191564613,0.0007862934144213796,31.04415361739857,0.9715365432903047,0.0284634567096953,7.341452269277529e-05,0.00012480466102715582,0.02952763764314734,1.0,0.0,0.02951017411728404,1.0,0.0,0.0008409736922581866,1.0,0.0,0.004594989345231772,1.0,0.0
case-008,inelastic-0.50,inelastic,0.5,energy,1.0,0.010899607113483225,0.1828448294781363,0.0,0.7458249569044749,0.0,0.0,0.028012984191564613,0.0027832959312945604,25.554406152629554,0.899200385614615,0.10079961438538498,0.000301691091198254,0.000147838014527224,0.10452097423884704,1.0,0.0,0.10450642737480928,1.0,0.0,0.0034559139197586166,1.0,0.0,0.005443018682010639,1.0,0.0
case-008,momentum-kick-0.025,momentum-kick,0.025,momentum,1.0,0.0007487489565924537,0.01256053304168505,0.0,0.003937899684582165,0.03425178545243004,0.0,0.028012984191564613,3.215772449038923e-05,44.92714689905896,0.9988358313794388,0.0011641686205612345,4.572697311904395e-06,6.337334070849465e-06,0.0012076174348721084,1.0,0.0,0.0012069798494621481,1.0,0.0,5.238089142204231e-05,1.0,0.0,0.0002333244791746317,1.0,0.0
case-008,momentum-kick-0.075,momentum-kick,0.075,momentum,1.0,0.002246246869779787,0.0376815991250552,0.0,0.004774590213670017,0.10275535635729023,0.0,0.028012984191564613,0.00025446925428695977,35.94364682875901,0.9907808904261891,0.00921910957381089,3.686243104160424e-05,3.2669471693225205e-05,0.009556071301241413,1.0,0.0,0.009558133838214059,1.0,0.0,0.00042226433683156594,1.0,0.0,0.0012028066348584337,1.0,0.0
case-008,momentum-kick-0.150,momentum-kick,0.15,momentum,1.0,0.004492493739560735,0.07536319825011033,0.0,0.011568146092888153,0.20551071271458027,0.0,0.028012984191564613,0.0008231450337916613,30.845236376600738,0.9701788415072897,0.029821158492710276,9.477795134210914e-05,7.720411667833105e-05,0.03091152467993451,1.0,0.0,0.03091780413301827,1.0,0.0,0.0010856947748389312,1.0,0.0,0.00284245869204975,1.0,0.0
case-008,collision-dropout,collision-dropout,1.0,collision,1.0,0.04384486924061865,0.7313793179125451,0.0,0.0,0.0,1.0,3.2642109992701906e-14,0.00812170933932066,20.903525571493464,0.657623809331588,0.34237619066841196,0.0027425105360722618,0.00022603949764743447,0.30499414851503226,0.0,0.0,0.35496675977502645,0.0,0.0,0.03141584426325827,1.0,0.0,0.00832219786299093,1.0,0.0
case-008,time-reverse,time-reverse,1.0,initial-condition,1.0,0.004669826445674896,1.024332823019287,0.7278762690899582,4.1679897104504696e-16,0.0,0.0,1.0300931995433737,0.000997538329102099,30.010704081246917,0.9638689037154498,0.036131096284550246,1.7780915628762273e-17,0.0001182048799819313,0.03746050746024988,1.0,0.0,0.03745978407612904,1.0,0.0,2.036828916075355e-16,1.0,1.0,0.004352002237746493,1.0,0.0
case-008,random,random,1.0,state,1.0,0.2747856420244498,0.785904303632948,0.6619263122488065,0.9693113692962531,2.0142068598418974,0.0,373.89202839082503,0.026629066094756126,15.74644064391181,0.035469713036212776,0.9645302869637872,0.08729705027471461,0.02716103382408619,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
case-009,correct,correct,0.0,none,0.0,0.0,0.0,0.0,4.264149728954812e-16,0.0,0.0,0.042828467662124815,0.0,120.0,1.0,0.0,7.788908407135864e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0726090277945375e-14,0.0,0.0,0.0,0.0,0.0
